3	TB-AMP_138	62.500	8	3	0	3	10	6	13	2.1	13.8
3	TB-AMP_99	62.500	8	3	0	3	10	17	24	6.2	12.5
3	TB-AMP_160	66.667	3	1	0	9	11	14	16	36	10.4
3	TB-AMP_25	100.000	2	0	0	10	11	21	22	449	 7.4
8	TB-AMP_166	100.000	2	0	0	13	14	12	13	989	 7.0
13	TB-AMP_196	80.000	5	1	0	14	18	46	50	8.8	12.9
13	TB-AMP_197	50.000	8	1	1	8	15	70	74	28	11.7
13	TB-AMP_118	57.143	7	3	0	1	7	27	33	50	10.8
13	TB-AMP_50	50.000	8	4	0	9	16	11	18	173	 9.1
13	TB-AMP_58	66.667	3	1	0	18	20	17	19	349	 8.3
13	TB-AMP_201	35.714	14	6	1	1	14	2	12	353	 8.3
13	TB-AMP_114	33.333	12	8	0	3	14	4	15	695	 7.4
26	TB-AMP_178	66.667	6	2	0	5	10	58	63	10	11.7
26	TB-AMP_89	66.667	6	2	0	5	10	98	103	10	11.7
26	TB-AMP_91	66.667	6	2	0	5	10	23	28	14	11.7
26	TB-AMP_19	50.000	4	2	0	9	12	14	17	755	 6.6
34	TB-AMP_90	50.000	8	4	0	2	9	28	35	60	 9.5
34	TB-AMP_18	80.000	5	1	0	4	8	15	19	80	 9.1
35	TB-AMP_168	50.000	10	5	0	1	10	17	26	13	12.1
35	TB-AMP_170	40.000	10	6	0	1	10	17	26	18	11.7
35	TB-AMP_169	40.000	10	6	0	1	10	17	26	31	11.2
35	TB-AMP_30	80.000	5	1	0	13	17	10	14	157	 9.1
35	TB-AMP_29	80.000	5	1	0	13	17	10	14	158	 9.1
35	TB-AMP_110	100.000	4	0	0	11	14	3	6	169	 9.1
35	TB-AMP_47	40.000	10	6	0	5	14	2	11	171	 9.1
35	TB-AMP_31	80.000	5	1	0	13	17	10	14	180	 8.7
35	TB-AMP_175	40.000	10	6	0	5	14	14	23	254	 8.3
35	TB-AMP_15	45.455	11	6	0	7	17	3	13	270	 8.3
35	TB-AMP_141	66.667	6	2	0	12	17	1	6	357	 8.3
35	TB-AMP_118	66.667	6	2	0	12	17	4	9	427	 7.9
35	TB-AMP_27	80.000	5	1	0	13	17	10	14	461	 7.9
35	TB-AMP_28	80.000	5	1	0	13	17	10	14	481	 7.4
47	TB-AMP_118	100.000	2	0	0	8	9	8	9	122	 8.7
47	TB-AMP_15	57.143	7	3	0	3	9	7	13	173	 8.3
59	TB-AMP_187	75.000	8	2	0	7	14	22	29	6.9	13.4
59	TB-AMP_188	57.143	7	3	0	4	10	20	26	28	11.2
59	TB-AMP_9	40.000	10	6	0	2	11	8	17	87	10.0
59	TB-AMP_57	40.000	10	6	0	2	11	8	17	87	10.0
59	TB-AMP_197	100.000	2	0	0	8	9	111	112	204	 8.7
59	TB-AMP_73	57.143	7	3	0	6	12	9	15	332	 8.3
59	TB-AMP_117	100.000	2	0	0	15	16	14	15	850	 7.0
61	TB-AMP_197	100.000	4	0	0	16	19	1	4	2.3	14.6
61	TB-AMP_196	75.000	4	1	0	16	19	16	19	26	11.7
61	TB-AMP_187	42.857	14	8	0	2	15	20	33	30	11.2
61	TB-AMP_29	80.000	5	1	0	1	5	9	13	41	10.8
61	TB-AMP_30	80.000	5	1	0	1	5	9	13	45	10.8
61	TB-AMP_31	80.000	5	1	0	1	5	9	13	46	10.8
61	TB-AMP_133	100.000	4	0	0	16	19	1	4	53	10.8
61	TB-AMP_168	100.000	4	0	0	7	10	21	24	58	10.4
61	TB-AMP_169	100.000	4	0	0	7	10	21	24	60	10.4
61	TB-AMP_170	100.000	4	0	0	7	10	21	24	61	10.4
61	TB-AMP_184	45.455	11	6	0	6	16	17	27	72	10.4
61	TB-AMP_87	100.000	4	0	0	16	19	2	5	118	 9.5
61	TB-AMP_87	100.000	4	0	0	16	19	7	10	118	 9.5
61	TB-AMP_87	100.000	4	0	0	16	19	12	15	118	 9.5
61	TB-AMP_87	100.000	4	0	0	16	19	17	20	118	 9.5
61	TB-AMP_163	25.000	20	15	0	1	20	1	20	157	 9.1
61	TB-AMP_176	50.000	8	4	0	13	20	31	38	206	 8.7
61	TB-AMP_176	50.000	4	2	0	15	18	8	11	961	 7.0
61	TB-AMP_50	50.000	8	4	0	12	19	10	17	213	 8.7
61	TB-AMP_90	66.667	3	1	0	15	17	19	21	567	 7.4
